condition,line,day,chromosome,copy_number
PA,4,200,X,4
PA,4,200,XI,4
PA,4,200,XII,4
PA,4,200,XIII,4
PA,4,200,XIV,4
PA,4,200,XV,4
PA,4,200,XVI,4
PA,4,400,I,3
PA,4,400,II,5
PA,4,400,III,6
PA,4,400,IV,4
PA,4,400,IX,4
PA,4,400,V,4
PA,4,400,VI,4
PA,4,400,VII,4
PA,4,400,VIII,5
PA,4,400,X,4
PA,4,400,XI,5
PA,4,400,XII,4
PA,4,400,XIII,4
PA,4,400,XIV,6
PA,4,400,XV,4
PA,4,400,XVI,4
PA,4,600,I,3
PA,4,600,II,6
PA,4,600,III,5
PA,4,600,IV,4
PA,4,600,IX,6
PA,4,600,V,4
PA,4,600,VI,4
PA,4,600,VII,5
PA,4,600,VIII,6
PA,4,600,X,5
PA,4,600,XI,5
PA,4,600,XII,4
PA,4,600,XIII,4
PA,4,600,XIV,8
PA,4,600,XV,4
PA,4,600,XVI,4
PA,4,1000,I,3
PA,4,1000,II,6
PA,4,1000,III,5
PA,4,1000,IV,4
PA,4,1000,IX,6
PA,4,1000,V,4
PA,4,1000,VI,4
PA,4,1000,VII,5
PA,4,1000,VIII,5
PA,4,1000,X,5
PA,4,1000,XI,5
PA,4,1000,XII,4
PA,4,1000,XIII,4
PA,4,1000,XIV,8
PA,4,1000,XV,4
PA,4,1000,XVI,4
PA,5,200,I,3
PA,5,200,II,4
PA,5,200,III,4
PA,5,200,IV,4
PA,5,200,IX,4
PA,5,200,V,4
PA,5,200,VI,4
PA,5,200,VII,4
PA,5,200,VIII,4
PA,5,200,X,4
PA,5,200,XI,4
PA,5,200,XII,4
PA,5,200,XIII,4
PA,5,200,XIV,4
PA,5,200,XV,5
PA,5,200,XVI,4
PA,5,400,I,3
PA,5,400,II,5
PA,5,400,III,4
PA,5,400,IV,4
PA,5,400,IX,4
PA,5,400,V,4
PA,5,400,VI,4
PA,5,400,VII,4
PA,5,400,VIII,5
PA,5,400,X,4
PA,5,400,XI,4
PA,5,400,XII,4
PA,5,400,XIII,4
PA,5,400,XIV,4
PA,5,400,XV,4
PA,5,400,XVI,4
PA,5,600,I,3
PA,5,600,II,4
PA,5,600,III,4
PA,5,600,IV,4
PA,5,600,IX,5
PA,5,600,V,3
PA,5,600,VI,4
PA,5,600,VII,4
PA,5,600,VIII,5
PA,5,600,X,4
PA,5,600,XI,4
PA,5,600,XII,3
PA,5,600,XIII,3
PA,5,600,XIV,3
PA,5,600,XV,4
PA,5,600,XVI,3
PA,5,1000,I,3
PA,5,1000,II,4
PA,5,1000,III,3
PA,5,1000,IV,4
PA,5,1000,IX,5
PA,5,1000,V,4
PA,5,1000,VI,4
PA,5,1000,VII,4
PA,5,1000,VIII,5
PA,5,1000,X,4
PA,5,1000,XI,4
PA,5,1000,XII,3
PA,5,1000,XIII,4
PA,5,1000,XIV,5
PA,5,1000,XV,4
PA,5,1000,XVI,4
PA,ancestor,0,I,2
PA,ancestor,0,II,2
PA,ancestor,0,III,2
PA,ancestor,0,IV,2
PA,ancestor,0,IX,2
PA,ancestor,0,V,2
PA,ancestor,0,VI,2
PA,ancestor,0,VII,2
PA,ancestor,0,VIII,2
PA,ancestor,0,X,2
PA,ancestor,0,XI,2
PA,ancestor,0,XII,2
PA,ancestor,0,XIII,2
PA,ancestor,0,XIV,2
PA,ancestor,0,XV,2
PA,ancestor,0,XVI,2
PM,1,200,I,5
PM,1,200,II,4
PM,1,200,III,5
PM,1,200,IV,4
PM,1,200,IX,4
PM,1,200,V,4
PM,1,200,VI,4
PM,1,200,VII,4
PM,1,200,VIII,4
PM,1,200,X,4
PM,1,200,XI,4
PM,1,200,XII,4
PM,1,200,XIII,4
PM,1,200,XIV,4
PM,1,200,XV,4
PM,1,200,XVI,4
PM,1,400,I,4
PM,1,400,II,4
PM,1,400,III,4
PM,1,400,IV,4
PM,1,400,IX,4
PM,1,400,V,4
PM,1,400,VI,4
PM,1,400,VII,4
PM,1,400,VIII,4
PM,1,400,X,4
PM,1,400,XI,4
PM,1,400,XII,4
PM,1,400,XIII,4
PM,1,400,XIV,4
PM,1,400,XV,4
PM,1,400,XVI,4
PM,1,600,I,4
PM,1,600,II,4
PM,1,600,III,4
PM,1,600,IV,4
PM,1,600,IX,4
PM,1,600,V,4
PM,1,600,VI,4
PM,1,600,VII,4
PM,1,600,VIII,4
PM,1,600,X,4
PM,1,600,XI,4
PM,1,600,XII,4
PM,1,600,XIII,4
PM,1,600,XIV,4
PM,1,600,XV,4
PM,1,600,XVI,4
PM,1,1000,I,4
PM,1,1000,II,4
PM,1,1000,III,4
PM,1,1000,IV,4
PM,1,1000,IX,4
PM,1,1000,V,4
PM,1,1000,VI,4
PM,1,1000,VII,4
PM,1,1000,VIII,5
PM,1,1000,X,4
PM,1,1000,XI,4
PM,1,1000,XII,4
PM,1,1000,XIII,4
PM,1,1000,XIV,4
PM,1,1000,XV,4
PM,1,1000,XVI,4
PM,2,200,I,4
PM,2,200,II,4
PM,2,200,III,4
PM,2,200,IV,4
PM,2,200,IX,4
PM,2,200,V,4
PM,2,200,VI,4
PM,2,200,VII,4
PM,2,200,VIII,4
PM,2,200,X,4
PM,2,200,XI,4
PM,2,200,XII,4
PM,2,200,XIII,4
PM,2,200,XIV,4
PM,2,200,XV,4
PM,2,200,XVI,4
PM,2,400,I,4
PM,2,400,II,4
PM,2,400,III,4
PM,2,400,IV,4
PM,2,400,IX,4
PM,2,400,V,4
PM,2,400,VI,4
PM,2,400,VII,4
PM,2,400,VIII,4
PM,2,400,X,4
PM,2,400,XI,4
PM,2,400,XII,4
PM,2,400,XIII,4
PM,2,400,XIV,4
PM,2,400,XV,4
PM,2,400,XVI,4
PM,2,600,I,4
PM,2,600,II,4
PM,2,600,III,4
PM,2,600,IV,4
PM,2,600,IX,4
PM,2,600,V,4
PM,2,600,VI,4
PM,2,600,VII,4
PM,2,600,VIII,4
PM,2,600,X,4
PM,2,600,XI,4
PM,2,600,XII,4
PM,2,600,XIII,4
PM,2,600,XIV,4
PM,2,600,XV,4
PM,2,600,XVI,4
PM,2,1000,I,5
PM,2,1000,II,4
PM,2,1000,III,4
PM,2,1000,IV,4
PM,2,1000,IX,4
PM,2,1000,V,4
PM,2,1000,VI,4
PM,2,1000,VII,4
PM,2,1000,VIII,4
PM,2,1000,X,4
PM,2,1000,XI,4
PM,2,1000,XII,4
PM,2,1000,XIII,4
PM,2,1000,XIV,4
PM,2,1000,XV,4
PM,2,1000,XVI,4
PM,3,200,I,4
PM,3,200,II,4
PM,3,200,III,4
PM,3,200,IV,4
PM,3,200,IX,4
PM,3,200,V,4
PM,3,200,VI,4
PM,3,200,VII,4
PM,3,200,VIII,4
PM,3,200,X,4
PM,3,200,XI,4
PM,3,200,XII,4
PM,3,200,XIII,4
PM,3,200,XIV,4
PM,3,200,XV,4
PM,3,200,XVI,4
PM,3,400,I,4
PM,3,400,II,4
PM,3,400,III,4
PM,3,400,IV,4
PM,3,400,IX,4
PM,3,400,V,4
PM,3,400,VI,4
PM,3,400,VII,4
PM,3,400,VIII,4
PM,3,400,X,4
PM,3,400,XI,4
PM,3,400,XII,4
PM,3,400,XIII,4
PM,3,400,XIV,4
PM,3,400,XV,4
PM,3,400,XVI,4
PM,3,600,I,5
PM,3,600,II,4
PM,3,600,III,5
PM,3,600,IV,4
PM,3,600,IX,4
PM,3,600,V,4
PM,3,600,VI,5
PM,3,600,VII,4
PM,3,600,VIII,4
PM,3,600,X,4
PM,3,600,XI,4
PM,3,600,XII,4
PM,3,600,XIII,4
PM,3,600,XIV,4
PM,3,600,XV,4
PM,3,600,XVI,4
PM,3,1000,I,4
PM,3,1000,II,4
PM,3,1000,III,4
PM,3,1000,IV,4
PM,3,1000,IX,4
PM,3,1000,V,4
PM,3,1000,VI,4
PM,3,1000,VII,4
PM,3,1000,VIII,4
PM,3,1000,X,4
PM,3,1000,XI,4
PM,3,1000,XII,4
PM,3,1000,XIII,4
PM,3,1000,XIV,4
PM,3,1000,XV,4
PM,3,1000,XVI,4
PM,4,200,I,4
PM,4,200,II,4
PM,4,200,III,4
PM,4,200,IV,4
PM,4,200,IX,4
PM,4,200,V,4
PM,4,200,VI,4
PM,4,200,VII,4
PM,4,200,VIII,4
PM,4,200,X,4
PM,4,200,XI,4
PM,4,200,XII,4
PM,4,200,XIII,4
PM,4,200,XIV,4
PM,4,200,XV,4
PM,4,200,XVI,4
PM,4,400,I,4
PM,4,400,II,4
PM,4,400,III,4
PM,4,400,IV,4
PM,4,400,IX,4
PM,4,400,V,4
PM,4,400,VI,4
PM,4,400,VII,4
PM,4,400,VIII,4
PM,4,400,X,4
PM,4,400,XI,4
PM,4,400,XII,4
PM,4,400,XIII,4
PM,4,400,XIV,4
PM,4,400,XV,4
PM,4,400,XVI,4
PM,4,600,I,4
PM,4,600,II,4
PM,4,600,III,5
PM,4,600,IV,4
PM,4,600,IX,4
PM,4,600,V,4
PM,4,600,VI,4
PM,4,600,VII,4
PM,4,600,VIII,4
PM,4,600,X,4
PM,4,600,XI,4
PM,4,600,XII,4
PM,4,600,XIII,4
PM,4,600,XIV,4
PM,4,600,XV,4
PM,4,600,XVI,4
PM,4,1000,I,4
PM,4,1000,II,4
PM,4,1000,III,4
PM,4,1000,IV,4
PM,4,1000,IX,4
PM,4,1000,V,4
PM,4,1000,VI,4
PM,4,1000,VII,4
PM,4,1000,VIII,4
PM,4,1000,X,4
PM,4,1000,XI,4
PM,4,1000,XII,4
PM,4,1000,XIII,4
PM,4,1000,XIV,4
PM,4,1000,XV,4
PM,4,1000,XVI,4
PM,5,200,I,4
PM,5,200,II,4
PM,5,200,III,4
PM,5,200,IV,4
PM,5,200,IX,4
PM,5,200,V,4
PM,5,200,VI,4
PM,5,200,VII,4
PM,5,200,VIII,4
PM,5,200,X,4
PM,5,200,XI,4
PM,5,200,XII,4
PM,5,200,XIII,4
PM,5,200,XIV,4
PM,5,200,XV,4
PM,5,200,XVI,4
PM,5,400,I,4
PM,5,400,II,4
PM,5,400,III,4
PM,5,400,IV,4
PM,5,400,IX,4
PM,5,400,V,4
PM,5,400,VI,4
PM,5,400,VII,4
PM,5,400,VIII,4
PM,5,400,X,4
PM,5,400,XI,4
PM,5,400,XII,4
PM,5,400,XIII,4
PM,5,400,XIV,4
PM,5,400,XV,4
PM,5,400,XVI,4
PM,5,600,I,4
PM,5,600,II,4
PM,5,600,III,4
PM,5,600,IV,4
PM,5,600,IX,4
PM,5,600,V,4
PM,5,600,VI,4
PM,5,600,VII,4
PM,5,600,VIII,5
PM,5,600,X,4
PM,5,600,XI,4
PM,5,600,XII,4
PM,5,600,XIII,4
PM,5,600,XIV,4
PM,5,600,XV,4
PM,5,600,XVI,4
PM,5,1000,I,4
PM,5,1000,II,4
PM,5,1000,III,4
PM,5,1000,IV,4
PM,5,1000,IX,4
PM,5,1000,V,4
PM,5,1000,VI,4
PM,5,1000,VII,4
PM,5,1000,VIII,4
PM,5,1000,X,4
PM,5,1000,XI,4
PM,5,1000,XII,4
PM,5,1000,XIII,5
PM,5,1000,XIV,4
PM,5,1000,XV,4
PM,5,1000,XVI,4
PM,ancestor,0,I,2
PM,ancestor,0,II,2
PM,ancestor,0,III,2
PM,ancestor,0,IV,2
PM,ancestor,0,IX,2
PM,ancestor,0,V,2
PM,ancestor,0,VI,2
PM,ancestor,0,VII,2
PM,ancestor,0,VIII,2
PM,ancestor,0,X,2
PM,ancestor,0,XI,2
PM,ancestor,0,XII,2
PM,ancestor,0,XIII,2
PM,ancestor,0,XIV,2
PM,ancestor,0,XV,2
PM,ancestor,0,XVI,2
